C:\Users\conej\Documents\conecta-social-comunidad-main\src\pages\AdminDashboard.tsx: line 83, col 10, Warning - 'filterType' is assigned a value but never used. Allowed unused vars must match /^_/u. (unused-imports/no-unused-vars)
C:\Users\conej\Documents\conecta-social-comunidad-main\src\pages\AdminDashboard.tsx: line 83, col 22, Warning - 'setFilterType' is assigned a value but never used. Allowed unused vars must match /^_/u. (unused-imports/no-unused-vars)
C:\Users\conej\Documents\conecta-social-comunidad-main\src\pages\AdminDashboard.tsx: line 133, col 42, Warning - 'messagesError' is assigned a value but never used. Allowed unused vars must match /^_/u. (unused-imports/no-unused-vars)
C:\Users\conej\Documents\conecta-social-comunidad-main\src\pages\AdminDashboard.tsx: line 140, col 41, Warning - 'reportsError' is assigned a value but never used. Allowed unused vars must match /^_/u. (unused-imports/no-unused-vars)
C:\Users\conej\Documents\conecta-social-comunidad-main\src\pages\AdminDashboard.tsx: line 148, col 44, Warning - 'moderatorsError' is assigned a value but never used. Allowed unused vars must match /^_/u. (unused-imports/no-unused-vars)
C:\Users\conej\Documents\conecta-social-comunidad-main\src\pages\AdminDashboard.tsx: line 156, col 40, Warning - 'careerError' is assigned a value but never used. Allowed unused vars must match /^_/u. (unused-imports/no-unused-vars)
C:\Users\conej\Documents\conecta-social-comunidad-main\src\pages\AdminDashboard.tsx: line 163, col 51, Warning - 'moderatorRequestsError' is assigned a value but never used. Allowed unused vars must match /^_/u. (unused-imports/no-unused-vars)
C:\Users\conej\Documents\conecta-social-comunidad-main\src\pages\AdminModerators.tsx: line 54, col 10, Warning - 'selectedModerator' is assigned a value but never used. Allowed unused vars must match /^_/u. (unused-imports/no-unused-vars)
C:\Users\conej\Documents\conecta-social-comunidad-main\src\pages\AdminModerators.tsx: line 54, col 29, Warning - 'setSelectedModerator' is assigned a value but never used. Allowed unused vars must match /^_/u. (unused-imports/no-unused-vars)
C:\Users\conej\Documents\conecta-social-comunidad-main\src\pages\AdminModerators.tsx: line 55, col 10, Warning - 'selectedRequest' is assigned a value but never used. Allowed unused vars must match /^_/u. (unused-imports/no-unused-vars)
C:\Users\conej\Documents\conecta-social-comunidad-main\src\pages\AdminModerators.tsx: line 57, col 9, Warning - 'statusColors' is assigned a value but never used. Allowed unused vars must match /^_/u. (unused-imports/no-unused-vars)
C:\Users\conej\Documents\conecta-social-comunidad-main\src\pages\AdminProduction.tsx: line 100, col 11, Warning - 'user' is assigned a value but never used. Allowed unused vars must match /^_/u. (unused-imports/no-unused-vars)
C:\Users\conej\Documents\conecta-social-comunidad-main\src\pages\AdminProduction.tsx: line 100, col 17, Warning - 'profile' is assigned a value but never used. Allowed unused vars must match /^_/u. (unused-imports/no-unused-vars)
C:\Users\conej\Documents\conecta-social-comunidad-main\src\pages\AdminProduction.tsx: line 123, col 10, Warning - 'dataLoading' is assigned a value but never used. Allowed unused vars must match /^_/u. (unused-imports/no-unused-vars)
C:\Users\conej\Documents\conecta-social-comunidad-main\src\pages\AdminProduction.tsx: line 124, col 10, Warning - 'selectedProfile' is assigned a value but never used. Allowed unused vars must match /^_/u. (unused-imports/no-unused-vars)
C:\Users\conej\Documents\conecta-social-comunidad-main\src\pages\AdminProduction.tsx: line 124, col 27, Warning - 'setSelectedProfile' is assigned a value but never used. Allowed unused vars must match /^_/u. (unused-imports/no-unused-vars)
C:\Users\conej\Documents\conecta-social-comunidad-main\src\pages\AdminProduction.tsx: line 126, col 10, Warning - 'auditReport' is assigned a value but never used. Allowed unused vars must match /^_/u. (unused-imports/no-unused-vars)
C:\Users\conej\Documents\conecta-social-comunidad-main\src\pages\AdminProduction.tsx: line 126, col 23, Warning - 'setAuditReport' is assigned a value but never used. Allowed unused vars must match /^_/u. (unused-imports/no-unused-vars)
C:\Users\conej\Documents\conecta-social-comunidad-main\src\pages\AdminProduction.tsx: line 127, col 10, Warning - 'notifications' is assigned a value but never used. Allowed unused vars must match /^_/u. (unused-imports/no-unused-vars)
C:\Users\conej\Documents\conecta-social-comunidad-main\src\pages\AdminProduction.tsx: line 127, col 25, Warning - 'setNotifications' is assigned a value but never used. Allowed unused vars must match /^_/u. (unused-imports/no-unused-vars)
C:\Users\conej\Documents\conecta-social-comunidad-main\src\pages\AdminProduction.tsx: line 128, col 10, Warning - 'systemAlerts' is assigned a value but never used. Allowed unused vars must match /^_/u. (unused-imports/no-unused-vars)
C:\Users\conej\Documents\conecta-social-comunidad-main\src\pages\AdminProduction.tsx: line 128, col 24, Warning - 'setSystemAlerts' is assigned a value but never used. Allowed unused vars must match /^_/u. (unused-imports/no-unused-vars)
C:\Users\conej\Documents\conecta-social-comunidad-main\src\pages\AdminProduction.tsx: line 129, col 10, Warning - 'dateFilter' is assigned a value but never used. Allowed unused vars must match /^_/u. (unused-imports/no-unused-vars)
C:\Users\conej\Documents\conecta-social-comunidad-main\src\pages\AdminProduction.tsx: line 129, col 22, Warning - 'setDateFilter' is assigned a value but never used. Allowed unused vars must match /^_/u. (unused-imports/no-unused-vars)
C:\Users\conej\Documents\conecta-social-comunidad-main\src\pages\AdminProduction.tsx: line 130, col 10, Warning - 'typeFilter' is assigned a value but never used. Allowed unused vars must match /^_/u. (unused-imports/no-unused-vars)
C:\Users\conej\Documents\conecta-social-comunidad-main\src\pages\AdminProduction.tsx: line 130, col 22, Warning - 'setTypeFilter' is assigned a value but never used. Allowed unused vars must match /^_/u. (unused-imports/no-unused-vars)
C:\Users\conej\Documents\conecta-social-comunidad-main\src\pages\AdminProduction.tsx: line 131, col 10, Warning - 'userFilter' is assigned a value but never used. Allowed unused vars must match /^_/u. (unused-imports/no-unused-vars)
C:\Users\conej\Documents\conecta-social-comunidad-main\src\pages\AdminProduction.tsx: line 131, col 22, Warning - 'setUserFilter' is assigned a value but never used. Allowed unused vars must match /^_/u. (unused-imports/no-unused-vars)
C:\Users\conej\Documents\conecta-social-comunidad-main\src\pages\AdminProduction.tsx: line 132, col 10, Warning - 'searchTerm' is assigned a value but never used. Allowed unused vars must match /^_/u. (unused-imports/no-unused-vars)
C:\Users\conej\Documents\conecta-social-comunidad-main\src\pages\AdminProduction.tsx: line 132, col 22, Warning - 'setSearchTerm' is assigned a value but never used. Allowed unused vars must match /^_/u. (unused-imports/no-unused-vars)
C:\Users\conej\Documents\conecta-social-comunidad-main\src\pages\AdminProduction.tsx: line 133, col 10, Warning - 'realTimeStats' is assigned a value but never used. Allowed unused vars must match /^_/u. (unused-imports/no-unused-vars)
C:\Users\conej\Documents\conecta-social-comunidad-main\src\pages\AdminProduction.tsx: line 133, col 25, Warning - 'setRealTimeStats' is assigned a value but never used. Allowed unused vars must match /^_/u. (unused-imports/no-unused-vars)
C:\Users\conej\Documents\conecta-social-comunidad-main\src\pages\AdminProduction.tsx: line 278, col 18, Warning - 'totalInvitations' is assigned a value but never used. Allowed unused vars must match /^_/u. (unused-imports/no-unused-vars)
C:\Users\conej\Documents\conecta-social-comunidad-main\src\pages\AdminProduction.tsx: line 295, col 7, Warning - 'appMetrics' is assigned a value but never used. Allowed unused vars must match /^_/u. (unused-imports/no-unused-vars)
C:\Users\conej\Documents\conecta-social-comunidad-main\src\pages\AdminProduction.tsx: line 302, col 16, Warning - 'error' is defined but never used. (unused-imports/no-unused-vars)
C:\Users\conej\Documents\conecta-social-comunidad-main\src\pages\AdminProduction.tsx: line 307, col 31, Warning - 'name' is defined but never used. Allowed unused args must match /^_/u. (unused-imports/no-unused-vars)
C:\Users\conej\Documents\conecta-social-comunidad-main\src\pages\AdminProduction.tsx: line 402, col 14, Warning - 'error' is defined but never used. (unused-imports/no-unused-vars)
C:\Users\conej\Documents\conecta-social-comunidad-main\src\pages\AdminProduction.tsx: line 430, col 14, Warning - 'error' is defined but never used. (unused-imports/no-unused-vars)
C:\Users\conej\Documents\conecta-social-comunidad-main\src\pages\Auth.tsx: line 51, col 11, Warning - 'getCurrentLocation' is assigned a value but never used. Allowed unused vars must match /^_/u. (unused-imports/no-unused-vars)
C:\Users\conej\Documents\conecta-social-comunidad-main\src\pages\Auth.tsx: line 51, col 31, Warning - 'location' is assigned a value but never used. Allowed unused vars must match /^_/u. (unused-imports/no-unused-vars)
C:\Users\conej\Documents\conecta-social-comunidad-main\src\pages\Auth.tsx: line 51, col 52, Warning - 'locationLoading' is assigned a value but never used. Allowed unused vars must match /^_/u. (unused-imports/no-unused-vars)
C:\Users\conej\Documents\conecta-social-comunidad-main\src\pages\Auth.tsx: line 51, col 76, Warning - 'locationError' is assigned a value but never used. Allowed unused vars must match /^_/u. (unused-imports/no-unused-vars)
C:\Users\conej\Documents\conecta-social-comunidad-main\src\pages\Auth.tsx: line 52, col 11, Warning - 'user' is assigned a value but never used. Allowed unused vars must match /^_/u. (unused-imports/no-unused-vars)
C:\Users\conej\Documents\conecta-social-comunidad-main\src\pages\Auth.tsx: line 52, col 17, Warning - 'session' is assigned a value but never used. Allowed unused vars must match /^_/u. (unused-imports/no-unused-vars)
C:\Users\conej\Documents\conecta-social-comunidad-main\src\pages\Auth.tsx: line 52, col 26, Warning - 'profile' is assigned a value but never used. Allowed unused vars must match /^_/u. (unused-imports/no-unused-vars)
C:\Users\conej\Documents\conecta-social-comunidad-main\src\pages\Auth.tsx: line 52, col 35, Warning - 'loading' is assigned a value but never used. Allowed unused vars must match /^_/u. (unused-imports/no-unused-vars)
C:\Users\conej\Documents\conecta-social-comunidad-main\src\pages\Auth.tsx: line 52, col 44, Warning - 'signIn' is assigned a value but never used. Allowed unused vars must match /^_/u. (unused-imports/no-unused-vars)
C:\Users\conej\Documents\conecta-social-comunidad-main\src\pages\Auth.tsx: line 52, col 52, Warning - 'signOut' is assigned a value but never used. Allowed unused vars must match /^_/u. (unused-imports/no-unused-vars)
C:\Users\conej\Documents\conecta-social-comunidad-main\src\pages\Auth.tsx: line 52, col 61, Warning - 'isAdmin' is assigned a value but never used. Allowed unused vars must match /^_/u. (unused-imports/no-unused-vars)
C:\Users\conej\Documents\conecta-social-comunidad-main\src\pages\Auth.tsx: line 52, col 70, Warning - 'isDemo' is assigned a value but never used. Allowed unused vars must match /^_/u. (unused-imports/no-unused-vars)
C:\Users\conej\Documents\conecta-social-comunidad-main\src\pages\Auth.tsx: line 52, col 78, Warning - 'getProfileType' is assigned a value but never used. Allowed unused vars must match /^_/u. (unused-imports/no-unused-vars)
C:\Users\conej\Documents\conecta-social-comunidad-main\src\pages\Auth.tsx: line 52, col 94, Warning - 'shouldUseProductionAdmin' is assigned a value but never used. Allowed unused vars must match /^_/u. (unused-imports/no-unused-vars)
